Sample	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-total_sequences
SRR14371953_1P	36.36363636363637	150.75540253865162	44.0	88.00224487717003	72732705.0
SRR14371953_2P	36.36363636363637	150.75459576266275	43.0	86.02026060396548	72732705.0
SRR14371954_1P	27.27272727272727	150.68462791575018	43.0	89.71281800187566	75507926.0
SRR14371954_2P	36.36363636363637	150.68383075440317	44.0	89.37923365070104	75507926.0
SRR14371955_1P	36.36363636363637	150.78261151459105	49.0	86.01372001994032	114967713.0
SRR14371955_2P	36.36363636363637	150.78181107247042	49.0	83.84800206865404	114967713.0
SRR14371956_1P	36.36363636363637	150.7543283138848	45.0	87.7540166144002	97281935.0
SRR14371956_2P	36.36363636363637	150.75353132110294	46.0	85.42881502537621	97281935.0
SRR14371957_1P	36.36363636363637	150.7221078354214	44.0	79.61160744858408	71205768.0
SRR14371957_2P	36.36363636363637	150.7212990385835	46.0	78.36303326377713	71205768.0
SRR15343189_1P	36.36363636363637	150.81631439435031	51.0	83.23072305499744	53770381.0
SRR15343189_2P	36.36363636363637	150.81583749611147	54.0	80.66107771984146	53770381.0
SRR15343190_1P	36.36363636363637	150.8324976981157	47.0	81.20671071566466	51565363.0
SRR15343190_2P	36.36363636363637	150.83200725262034	47.0	77.2866989209511	51565363.0
SRR15343191_1P	36.36363636363637	150.8390350555701	48.0	78.52158330602698	54065331.0
SRR15343191_2P	36.36363636363637	150.83854376106567	47.0	76.70223370573049	54065331.0
SRR15343192_1P	36.36363636363637	150.74644884860308	45.0	86.7813103125255	52109789.0
SRR15343192_2P	36.36363636363637	150.74645932648087	44.0	85.36118889784746	52109789.0
SRR15343193_1P	27.27272727272727	150.82602568741802	50.0	84.6417964251561	55054346.0
SRR15343193_2P	36.36363636363637	150.82603682187053	48.0	84.84628635367645	55054346.0
SRR15343194_1P	36.36363636363637	150.76683281122214	45.0	89.62518589201821	91791753.0
SRR15343194_2P	36.36363636363637	150.7668471807048	45.0	87.45668896633495	91791753.0
SRR15343195_1P	36.36363636363637	150.78950669472198	46.0	86.163288072681	43266920.0
SRR15343195_2P	36.36363636363637	150.78952077014034	46.0	83.95674972975172	43266920.0
