Module	Section	Sample Name	Source
FastQC	all_sections	SRR15343194_2P	/cluster/scratch/saleka/qc_trimmed_new/SRR15343194_2P_fastqc.zip
FastQC	all_sections	SRR15343190_1P	/cluster/scratch/saleka/qc_trimmed_new/SRR15343190_1P_fastqc.zip
FastQC	all_sections	SRR15343189_2P	/cluster/scratch/saleka/qc_trimmed_new/SRR15343189_2P_fastqc.zip
FastQC	all_sections	SRR15343191_1P	/cluster/scratch/saleka/qc_trimmed_new/SRR15343191_1P_fastqc.zip
FastQC	all_sections	SRR15343191_2P	/cluster/scratch/saleka/qc_trimmed_new/SRR15343191_2P_fastqc.zip
FastQC	all_sections	SRR14371953_1P	/cluster/scratch/saleka/qc_trimmed_new/SRR14371953_1P_fastqc.zip
FastQC	all_sections	SRR15343192_1P	/cluster/scratch/saleka/qc_trimmed_new/SRR15343192_1P_fastqc.zip
FastQC	all_sections	SRR14371955_2P	/cluster/scratch/saleka/qc_trimmed_new/SRR14371955_2P_fastqc.zip
FastQC	all_sections	SRR15343194_1P	/cluster/scratch/saleka/qc_trimmed_new/SRR15343194_1P_fastqc.zip
FastQC	all_sections	SRR14371954_2P	/cluster/scratch/saleka/qc_trimmed_new/SRR14371954_2P_fastqc.zip
FastQC	all_sections	SRR15343195_2P	/cluster/scratch/saleka/qc_trimmed_new/SRR15343195_2P_fastqc.zip
FastQC	all_sections	SRR15343193_1P	/cluster/scratch/saleka/qc_trimmed_new/SRR15343193_1P_fastqc.zip
FastQC	all_sections	SRR15343189_1P	/cluster/scratch/saleka/qc_trimmed_new/SRR15343189_1P_fastqc.zip
FastQC	all_sections	SRR15343195_1P	/cluster/scratch/saleka/qc_trimmed_new/SRR15343195_1P_fastqc.zip
FastQC	all_sections	SRR15343192_2P	/cluster/scratch/saleka/qc_trimmed_new/SRR15343192_2P_fastqc.zip
FastQC	all_sections	SRR14371954_1P	/cluster/scratch/saleka/qc_trimmed_new/SRR14371954_1P_fastqc.zip
FastQC	all_sections	SRR15343193_2P	/cluster/scratch/saleka/qc_trimmed_new/SRR15343193_2P_fastqc.zip
FastQC	all_sections	SRR14371956_2P	/cluster/scratch/saleka/qc_trimmed_new/SRR14371956_2P_fastqc.zip
FastQC	all_sections	SRR14371957_2P	/cluster/scratch/saleka/qc_trimmed_new/SRR14371957_2P_fastqc.zip
FastQC	all_sections	SRR14371955_1P	/cluster/scratch/saleka/qc_trimmed_new/SRR14371955_1P_fastqc.zip
FastQC	all_sections	SRR14371953_2P	/cluster/scratch/saleka/qc_trimmed_new/SRR14371953_2P_fastqc.zip
FastQC	all_sections	SRR15343190_2P	/cluster/scratch/saleka/qc_trimmed_new/SRR15343190_2P_fastqc.zip
FastQC	all_sections	SRR14371957_1P	/cluster/scratch/saleka/qc_trimmed_new/SRR14371957_1P_fastqc.zip
FastQC	all_sections	SRR14371956_1P	/cluster/scratch/saleka/qc_trimmed_new/SRR14371956_1P_fastqc.zip
